Branch
% PTDF From ,% PTDF To ,From Number,To Number
0.00,-0.00,13620,13629
11.23,-11.20,13620,13631
0.02,-0.02,13621,13634
5.71,-5.73,13666,13631
-1.06,1.09,13632,13655
0.28,-0.28,13632,20416
0.53,-0.51,13633,13655
-0.19,0.19,13633,13656
-0.01,0.01,13633,13680
-0.06,0.06,13634,13661
-0.03,0.03,13634,13662
0.88,-0.88,13634,13682
0.00,-0.00,13637,13641
0.00,-0.00,13637,13642
0.20,-0.20,13637,13643
0.00,-0.00,13637,13644
0.49,-0.49,13646,13645
0.49,-0.49,13645,13649
-0.46,0.46,13646,13648
0.04,-0.04,13689,13648
-0.00,0.00,13650,13652
-0.00,0.00,13650,13653
-0.00,0.00,13652,13653
-0.11,0.11,13655,13656
0.00,-0.00,13656,13658
0.00,-0.00,13656,13659
3.27,-3.27,13667,13666
0.00,-0.00,13666,13670
-0.00,0.00,13666,13671
0.00,0.00,13666,13674
0.00,-0.00,13675,13678
0.17,-0.17,13675,13696
5.03,-5.02,13675,13699
2.77,-2.77,13682,13681
-0.00,0.00,13681,13684
0.00,0.00,13681,13685
-9.45,9.47,13681,13695
-1.68,1.69,13682,13699
0.15,-0.15,13687,74046
0.11,-0.11,13687,74072
0.09,-0.09,13687,74083
0.06,-0.06,13687,74218
0.23,-0.23,13687,74228
0.18,-0.18,13687,74326
0.00,-0.00,13689,13693
0.00,0.00,13689,13694
3.47,-3.47,13696,13695
0.00,0.00,13695,13698
-3.34,3.34,13696,13699
-0.00,0.00,20005,20007
-0.08,0.08,20005,20432
0.36,-0.36,20022,20024
0.11,-0.11,20022,20463
-0.11,0.11,20022,20480
-0.12,0.12,20022,20531
-1.18,1.23,20024,20533
1.54,-1.53,20024,21035
-0.06,0.06,20073,20357
4.82,-4.73,20365,20073
-0.89,0.89,20381,20073
4.12,-4.06,20073,20396
0.12,-0.12,20073,20519
-0.24,0.24,20073,20528
-2.48,2.48,20290,20122
-0.04,0.05,20122,20297
0.08,-0.08,20122,20356
0.02,-0.02,20122,20397
2.39,-2.39,20404,20122
-0.02,0.02,20122,20453
0.05,-0.05,20122,20523
-0.00,0.00,20122,21673
-0.02,0.02,20122,23318
0.30,-0.30,20243,20247
0.02,-0.02,20243,20336
0.01,-0.01,20243,20347
-0.03,0.03,20243,20356
-0.12,0.12,20243,20397
-0.01,0.01,20243,20523
-0.06,0.06,20243,23318
0.30,-0.30,20247,20396
0.42,-0.42,20283,20284
0.00,-0.00,20283,20287
-0.42,0.42,20283,20422
0.42,-0.42,20284,20347
0.14,-0.14,20288,20290
0.01,-0.01,20288,20356
0.01,-0.01,20288,20397
0.00,-0.00,20288,20523
-0.05,0.05,20288,23318
-1.58,1.58,20290,20339
-2.72,2.71,20396,20290
-1.49,1.49,20509,20290
0.00,0.00,20291,20293
-1.42,1.42,20291,20322
-0.01,0.01,20291,20323
-4.58,4.65,20324,20291
-0.05,0.05,20291,20353
-2.49,2.49,20365,20291
0.27,-0.27,20291,20472
-0.17,0.17,20291,20475
0.00,-0.00,20291,20527
0.03,-0.03,20295,20357
-0.02,0.02,20295,20385
2.72,-2.72,20297,20296
0.00,0.00,20296,20299
0.00,0.00,20296,20300
0.00,0.00,20296,20301
-0.00,0.00,20296,20302
2.72,-2.72,20296,20303
0.08,-0.08,20297,20356
0.06,-0.06,20297,20400
0.90,-0.89,20297,20404
0.01,-0.01,20297,20424
-3.92,4.02,20297,20497
0.07,-0.07,20297,20523
0.03,-0.03,20297,21673
0.05,-0.04,20297,23318
2.72,-2.70,20303,21593
0.02,-0.02,20306,20463
0.01,-0.01,20307,20463
-8.89,8.89,20308,20309
-0.00,0.00,20308,20314
-21.36,21.44,20308,20436
-30.20,30.25,23457,20308
-0.07,0.08,20309,20336
-0.51,0.52,20309,20347
-7.67,7.65,20309,20396
-0.18,0.18,20309,20397
-0.38,0.38,20309,23280
-5.43,5.44,20317,20316
-0.00,0.00,20316,20319
0.00,-0.00,20316,20320
-5.44,5.43,20316,20321
5.02,-5.01,20317,20322
0.18,-0.18,20317,20365
0.23,-0.22,20317,20494
21.63,-21.56,20321,20387
-33.99,34.31,20436,20321
3.59,-3.59,20322,20365
0.33,-0.33,20323,20353
0.00,-0.00,20323,20475
0.00,0.00,20324,20328
0.00,-0.00,20324,20329
0.32,-0.32,20324,20357
0.33,-0.33,20378,20324
4.69,-4.67,20324,20381
-0.06,0.06,20324,20528
-0.61,0.61,20330,20357
0.29,-0.29,20330,20379
0.19,-0.19,20330,20453
0.14,-0.14,20330,20471
-0.00,-0.00,20332,20519
0.28,-0.28,20335,20336
1.71,-1.71,20422,20335
1.43,-1.43,20335,30048
0.36,-0.36,20336,20347
0.01,-0.01,20336,20347
-0.02,0.02,20336,20356
-0.07,0.07,20336,20397
0.00,-0.00,20336,20540
0.00,-0.00,20336,20541
-0.03,0.03,20336,23318
0.01,-0.01,20339,20356
-1.31,1.31,20339,20431
-0.03,0.03,20339,20453
-0.19,0.19,20339,23318
0.01,-0.01,20344,20454
-0.01,0.01,20344,23318
-0.05,0.05,20347,20397
-0.00,0.00,20347,20406
-0.00,0.00,20347,20407
0.01,-0.01,20347,20466
0.10,-0.10,20347,23278
0.26,-0.26,20347,23347
-0.04,0.04,20349,20353
0.06,-0.06,20349,20528
-0.02,0.02,20350,20353
0.04,-0.04,20350,20528
-0.13,0.13,20351,20462
-0.02,0.02,20351,20476
0.17,-0.17,20351,20480
0.06,-0.06,20353,20388
0.03,-0.03,20353,20462
0.22,-0.21,20353,20472
-0.07,0.07,20353,20475
0.06,-0.06,20353,20497
0.18,-0.17,20353,20528
0.63,-0.63,20356,20355
3.53,-3.54,20355,20466
-2.90,2.90,20355,20509
0.02,-0.02,20356,20397
-0.11,0.11,20356,20400
-0.03,0.03,20356,20424
-0.03,0.04,20356,20453
0.05,-0.05,20356,20509
-0.04,0.04,20356,20519
-0.24,0.24,20356,20523
-0.07,0.07,20356,21673
0.24,-0.24,20356,23270
-0.08,0.08,20356,23318
0.02,-0.02,20356,23390
-0.01,0.01,20357,20374
-0.16,0.17,20357,20385
-0.02,0.02,20357,20472
0.17,-0.16,20357,20519
-0.22,0.21,20357,20528
0.09,-0.09,20361,20364
-0.03,0.03,20361,21656
0.01,-0.01,20361,21675
-0.01,0.01,20361,21694
-0.06,0.06,20361,21716
0.12,-0.12,20364,21642
0.02,-0.02,21682,20364
0.00,-0.00,20365,20367
0.00,0.00,20365,20368
0.00,0.00,20365,20369
1.70,-1.69,20365,20476
-0.21,0.22,20365,20494
-0.01,0.01,20365,20536
-0.00,0.00,20365,20537
-0.01,0.01,20365,20538
0.06,-0.06,20372,20437
0.01,-0.01,20372,20453
0.05,-0.05,20372,20454
-0.37,0.37,20372,20519
0.21,-0.21,20372,20534
0.12,-0.11,20372,23318
0.00,-0.00,20374,20377
-0.00,0.00,20374,20378
0.02,-0.02,20374,20385
-0.02,0.02,20374,20472
-2.36,2.39,20378,20388
2.03,-1.99,20378,20404
0.13,-0.13,20379,20381
0.10,-0.10,20379,20453
0.07,-0.07,20379,20471
-5.67,5.68,20437,20381
-0.04,0.04,20383,20385
0.07,-0.07,20383,20397
0.16,-0.15,20385,20397
0.03,-0.03,20385,20437
0.06,-0.06,20385,20453
-0.74,0.75,20385,20472
0.44,-0.44,20385,20496
0.06,-0.06,20385,20516
0.03,-0.03,20385,20519
-0.25,0.26,20385,20526
0.06,-0.06,20385,23318
-4.81,4.81,20388,20387
0.00,-0.00,20387,20390
0.00,-0.00,20387,20391
0.00,-0.00,20387,20392
0.00,-0.00,20387,20393
19.96,-19.82,20387,20423
12.84,-12.70,20387,20484
1.16,-1.15,20387,20530
0.01,-0.01,20388,20462
-2.27,2.27,20476,20388
0.07,-0.07,20388,20497
0.02,-0.02,20388,20499
0.20,-0.19,20388,20528
-0.57,0.57,20396,20397
-0.03,0.04,20397,20453
0.00,-0.00,20397,20509
-0.01,0.01,20397,20515
-0.09,0.09,20397,20516
-0.01,0.01,20397,20523
0.04,-0.04,20397,23278
-0.20,0.20,20397,23318
-0.07,0.07,20400,20404
-0.00,0.00,20400,20424
-0.01,0.01,20400,20453
0.09,-0.09,20400,20523
0.02,-0.02,20400,21673
0.02,-0.02,20400,23318
-0.04,0.04,20431,20404
0.37,-0.36,20404,21081
0.00,-0.00,20410,20412
0.00,-0.00,20410,20413
1.92,-1.92,20410,20422
-0.29,0.29,20410,20534
1.63,-1.62,20542,20410
0.60,-0.60,20416,20415
-0.00,0.00,20415,20417
0.22,-0.22,20418,20422
-0.22,0.22,20418,20454
0.25,-0.25,20423,20424
0.00,0.00,20423,20429
0.00,0.00,20423,20430
8.66,-8.67,20423,20436
5.71,-5.69,20423,20465
-5.18,5.20,20513,20423
0.66,-0.66,20424,20431
-0.22,0.22,20424,20519
0.02,-0.02,20424,20523
-0.11,0.11,20424,20528
0.01,-0.01,20424,23318
0.61,-0.61,20452,20431
0.01,-0.01,20435,20534
-0.00,0.00,20435,20542
3.90,-3.91,20437,20436
0.00,-0.00,20436,20439
0.00,0.00,20436,20442
0.00,0.00,20436,20443
-25.46,25.13,30387,20436
0.00,0.00,20437,20445
-0.60,0.61,20452,20437
0.00,-0.00,20437,20453
-0.34,0.34,20437,20519
1.64,-1.64,20437,20542
0.03,-0.03,20447,20463
0.02,-0.02,20448,20463
0.01,-0.01,20449,20463
0.42,-0.42,20453,20452
0.41,-0.40,20452,21385
0.00,-0.00,20453,20456
0.01,-0.00,20453,20460
-0.17,0.17,20453,20471
-0.04,0.04,20453,20471
-0.04,0.04,20453,20519
0.02,-0.02,20453,20523
0.15,-0.15,20453,23318
-0.01,0.01,20454,20534
-0.13,0.13,20454,23318
0.00,-0.00,20456,20471
0.00,-0.00,20460,20471
-0.19,0.20,20462,20476
-0.29,0.30,20462,20494
0.08,-0.08,20462,20497
0.03,-0.03,20462,20499
0.28,-0.27,20462,20528
-0.02,0.02,20463,20474
0.02,-0.02,20463,20485
0.03,-0.03,20463,21018
0.12,-0.12,20463,21026
0.16,-0.16,20463,21035
0.08,-0.08,20463,21081
0.10,-0.10,20463,21166
0.03,-0.03,20463,21253
0.03,-0.03,20463,21388
0.03,-0.03,20463,21656
0.03,-0.02,20463,21694
-4.81,4.81,20466,20465
0.00,-0.00,20465,20468
0.00,-0.00,20465,20469
0.00,0.00,20465,20470
0.88,-0.88,20465,23431
-0.02,0.02,20466,21621
-0.03,0.03,20466,21676
0.00,-0.00,20466,23270
0.04,-0.04,20466,23278
-0.02,0.02,20466,23390
8.44,-8.42,20466,23473
0.03,-0.03,20471,23318
-0.34,0.35,20472,20475
0.03,-0.03,20472,20496
0.00,0.00,20476,20479
3.75,-3.74,20476,20497
0.00,-0.00,20480,20482
0.00,0.00,20480,20483
0.16,-0.16,20480,20497
-0.05,0.04,20480,20531
-0.70,0.70,20485,20484
-0.70,0.70,20485,20484
-0.70,0.70,20485,20484
0.00,-0.00,20484,20488
0.00,-0.00,20484,20490
0.00,-0.00,20484,20491
0.00,-0.00,20484,20492
-10.57,10.60,21641,20484
2.22,-2.21,20485,20493
-1.03,1.04,21026,20493
-1.15,1.17,21035,20493
0.04,-0.04,20494,20497
0.01,-0.01,20494,20536
0.00,-0.00,20494,20537
0.01,-0.01,20494,20538
-0.33,0.34,20496,20526
0.29,-0.29,20496,30398
0.56,-0.56,20496,30428
0.00,-0.00,20497,20502
-0.00,0.00,20497,20503
0.21,-0.20,20497,20528
0.05,-0.05,20499,20528
0.03,-0.03,20505,20534
-0.01,0.01,20505,20542
0.03,-0.03,20506,20534
-0.01,0.01,20506,20542
-1.25,1.25,20509,20508
-1.25,1.25,20508,20513
-0.02,0.02,20509,20523
-0.03,0.03,20509,23318
-3.93,3.93,23431,20513
-0.00,0.00,20516,23318
0.03,-0.03,20519,20523
-0.55,0.56,20519,20528
0.05,-0.04,20519,23318
-0.03,0.03,20523,21673
0.05,-0.05,20523,23270
-0.04,0.04,20523,23318
-0.00,0.00,20526,20525
-0.00,0.00,20525,20527
-1.15,1.15,20531,20530
1.23,-1.23,20531,20533
-0.04,0.04,20534,20542
-0.02,0.02,20534,23318
0.11,-0.11,20534,30398
0.00,0.00,20542,20544
-0.11,0.11,21018,21026
0.23,-0.23,21018,21081
0.02,-0.02,21018,21100
0.11,-0.11,21018,21166
1.17,-1.17,21026,21035
-0.00,0.00,21035,21039
2.28,-2.26,21035,21166
1.83,-1.83,21035,21221
0.20,-0.20,21100,21081
1.54,-1.54,21081,21107
-0.05,0.05,21081,21166
0.58,-0.58,21753,21081
-0.00,0.00,21100,21104
-0.11,0.11,21100,21166
0.00,-0.00,21100,21694
0.00,-0.00,21100,21754
-1.34,1.35,21132,21107
-0.14,0.14,21107,21166
0.40,-0.40,21107,21181
-0.00,0.00,21107,21694
-0.01,0.01,21107,21754
0.54,-0.54,21181,21120
0.58,-0.59,21120,21382
-0.00,0.00,21120,21694
-0.01,0.01,21120,21754
-0.08,0.08,21132,21166
1.48,-1.48,21132,21232
-0.01,0.01,21132,21694
-0.01,0.01,21132,21754
0.16,-0.16,21160,21164
-0.05,0.05,21160,21166
-0.03,0.03,21160,21694
-0.00,0.00,21160,21699
-0.06,0.06,21160,21754
0.06,-0.06,21164,21642
-0.10,0.10,21671,21164
0.13,-0.13,21166,21181
-0.01,0.01,21166,21221
0.02,-0.02,21166,21232
0.01,-0.01,21166,21253
0.02,-0.02,21166,21261
0.03,-0.03,21166,21388
0.03,-0.04,21166,21656
0.08,-0.08,21166,21664
0.03,-0.03,21166,21694
0.02,-0.02,21166,21699
0.01,-0.01,21166,21709
0.01,-0.01,21166,21710
0.01,-0.01,21166,21722
0.02,-0.02,21166,21728
-1.91,1.91,21753,21166
0.03,-0.03,21166,21754
0.03,-0.03,21181,21671
-0.01,0.01,21181,21694
-0.00,0.00,21181,21699
-0.02,0.02,21181,21754
1.78,-1.78,21221,21253
0.01,-0.01,21221,21385
0.01,-0.01,21221,21388
0.02,-0.02,21221,21656
0.02,-0.02,21221,21694
0.03,-0.03,21221,21716
0.01,-0.01,21221,21754
0.00,-0.00,21232,21234
0.06,-0.06,21232,21628
-1.48,1.47,21638,21232
-0.00,0.00,21232,21728
-1.77,1.77,21388,21253
0.02,-0.02,21253,21656
0.01,-0.01,21253,21673
0.02,-0.02,21253,21694
0.04,-0.04,21253,21716
0.01,-0.01,21253,21754
-0.23,0.23,21261,21326
0.01,-0.01,21261,21405
-0.00,0.00,21261,21607
-0.01,0.01,21261,21699
-0.27,0.27,21728,21261
-0.01,0.01,21261,21754
-1.99,1.99,21409,21275
-1.27,1.28,21275,21474
0.23,-0.23,21275,21628
-1.03,1.03,21275,21638
0.13,-0.13,21275,21720
-0.03,0.03,21275,21728
7.14,-7.16,21298,21398
0.05,-0.05,21298,21398
-0.16,0.16,21298,21405
-0.28,0.28,21298,21496
-0.07,0.07,21298,21531
-1.27,1.25,21298,21628
-0.29,0.29,21298,21632
-0.02,0.02,21298,21639
-3.84,3.85,21298,21685
-0.03,0.03,21298,21685
-1.28,1.24,21298,21720
0.03,-0.03,21298,23375
0.01,-0.01,21326,21339
-0.01,0.01,21326,21382
-0.17,0.17,21326,21607
-0.00,0.00,21326,21607
-0.00,0.00,21326,21649
0.00,-0.00,21326,21675
-0.01,0.01,21326,21694
-0.03,0.03,21326,21699
-0.01,0.01,21326,21716
0.01,-0.01,21326,21728
0.02,-0.02,21326,21743
-0.03,0.03,21326,21754
-3.13,3.14,21405,21339
-1.18,1.19,21339,21607
-0.01,0.01,21339,21664
1.93,-1.93,21728,21339
0.07,-0.07,21474,21373
0.09,-0.09,21373,21743
0.00,-0.00,21382,21384
2.33,-2.33,21382,21474
-0.79,0.79,21382,21642
-0.86,0.87,21382,21649
-0.02,0.02,21382,21694
-0.02,0.02,21382,21699
0.00,-0.00,21382,21728
-0.06,0.06,21382,21754
0.00,-0.00,21385,21387
-0.33,0.33,21388,21385
0.02,-0.02,21385,21656
0.07,-0.06,21385,21673
0.03,-0.03,21385,21716
0.12,-0.12,21388,21656
-2.08,2.08,21657,21388
0.00,-0.00,21388,21673
0.00,-0.00,21388,21694
0.01,-0.01,21388,21716
0.00,-0.00,21388,21754
-0.00,0.00,21398,21400
2.10,-2.11,21398,23016
-4.59,4.57,23375,21398
0.39,-0.38,21398,23405
0.13,-0.13,21398,23449
0.07,-0.07,21405,21628
-2.88,2.88,21629,21405
0.05,-0.05,21405,21720
-0.47,0.47,21458,21409
0.43,-0.43,21409,21628
0.49,-0.49,21409,21629
0.62,-0.61,21409,21720
0.06,-0.06,21458,21628
0.31,-0.31,21458,21639
0.11,-0.10,21458,21720
0.02,-0.02,21474,21615
-0.74,0.74,21474,21626
-0.01,0.01,21474,21675
-0.02,0.02,21474,21699
-0.01,0.01,21474,21716
-1.51,1.51,21742,21474
0.26,-0.26,21474,21743
-15.03,15.04,21496,21527
-0.47,0.46,21496,21628
0.17,-0.17,21496,21639
16.16,-16.21,21496,21685
-0.77,0.76,21496,21720
-0.16,0.16,21496,21743
-0.18,0.18,21496,21758
-0.10,0.10,21527,21615
-0.14,0.14,21527,21628
-7.65,7.68,21527,21700
-0.24,0.24,21527,21720
-0.13,0.13,21527,21728
-0.12,0.12,21527,21743
-0.11,0.11,21527,21758
-6.55,6.60,21527,23432
-0.16,0.15,21531,21628
0.03,-0.03,21531,21639
-0.31,0.31,21685,21531
-0.26,0.25,21531,21720
-3.50,3.51,21594,21593
0.00,-0.00,21593,21596
0.00,-0.00,21593,21597
0.00,0.00,21593,21598
0.00,0.00,21593,21599
-5.56,5.56,21593,21641
-1.82,1.82,21727,21593
-2.94,2.94,23431,21593
3.44,-3.44,21607,21594
-0.88,0.88,21594,21626
4.76,-4.75,21594,21660
-0.03,0.03,21594,21675
-0.01,0.01,21594,21676
-0.01,0.01,21594,21699
-0.01,0.01,21594,21716
-3.02,3.03,21742,21594
0.04,-0.04,21594,23270
0.06,-0.06,21594,23390
0.00,-0.00,21600,21602
0.00,0.00,21600,21603
-0.00,0.00,21600,21604
-0.00,0.00,21600,21605
-0.25,0.25,21600,21606
0.00,-0.00,21600,21675
-0.00,0.00,21600,21699
-0.01,0.01,21600,21716
0.13,-0.12,21600,23270
0.15,-0.15,21600,23390
-1.68,1.68,21626,21606
-1.94,1.94,21606,21678
0.00,-0.00,21607,21611
0.00,-0.00,21607,21612
0.00,-0.00,21607,21613
-2.67,2.67,21607,21642
2.07,-2.07,21649,21607
-0.01,0.01,21607,21649
-0.00,0.00,21607,21664
-0.01,0.01,21607,21694
-0.01,0.01,21607,21699
-0.03,0.02,21607,21754
0.00,0.00,21615,21617
0.00,-0.00,21615,21619
-0.00,0.00,21615,21620
3.41,-3.42,21615,21660
0.13,-0.13,21615,21700
0.00,-0.00,21615,21733
0.08,-0.08,21615,21741
4.01,-4.01,21742,21615
0.00,-0.00,21615,21743
0.19,-0.19,21615,23348
0.13,-0.13,21615,23421
0.00,-0.00,21618,21700
-0.00,0.00,21621,21623
-0.00,0.00,21621,21624
-0.00,-0.00,21621,21625
-0.06,0.06,21621,21626
-0.04,0.04,21621,21675
-0.01,0.01,21621,21676
-0.01,0.01,21621,21699
-0.01,0.01,21621,21716
0.05,-0.05,21621,23270
0.07,-0.07,21621,23390
-3.37,3.37,21628,21627
-3.37,3.38,21627,21629
0.04,-0.04,21628,21631
-0.12,0.12,21628,21632
0.18,-0.18,21628,21685
1.73,-1.73,21628,21720
-0.06,0.06,21628,21733
0.43,-0.43,21628,21758
-0.01,0.01,21629,21741
0.16,-0.16,21631,21639
-0.06,0.06,21631,21720
-0.07,0.07,21631,21743
0.00,-0.00,21632,21636
-0.45,0.45,21632,21638
0.07,-0.07,21632,21720
-0.02,0.02,21632,21728
-0.02,0.02,21639,21685
-0.16,0.16,21639,21720
-0.35,0.35,21639,21744
-0.01,0.01,21639,23348
-0.02,0.02,21639,23354
1.21,-1.23,21639,23405
0.01,-0.01,21639,23443
-1.67,1.67,21642,21641
-1.67,1.67,21642,21641
-1.67,1.67,21642,21641
-0.00,0.00,21641,21646
0.00,0.00,21641,21647
2.71,-2.71,21642,21649
0.01,-0.01,21642,21675
-0.02,0.02,21642,21694
-0.96,0.95,21642,21698
-0.01,0.01,21642,21699
-0.01,0.01,21642,21754
0.00,-0.00,21649,21651
0.00,0.00,21649,21652
0.00,0.00,21649,21653
-0.00,0.00,21649,21664
-0.21,0.21,21649,21671
-0.00,0.00,21649,21694
-0.00,0.00,21649,21699
-0.02,0.02,21649,21754
0.12,-0.12,21656,21655
0.12,-0.12,21655,21657
0.00,0.00,21655,21658
0.00,0.00,21655,21659
-0.01,0.01,21656,21673
0.03,-0.03,21656,21675
0.00,-0.00,21656,21694
0.08,-0.08,21656,21716
-0.00,0.00,21656,21722
-0.00,0.00,21656,21754
0.02,-0.02,21656,21760
2.20,-2.21,21657,21682
-0.00,0.00,21660,21662
0.00,0.00,21660,21663
8.38,-8.38,21660,21700
-0.21,0.21,21660,21743
-0.00,0.00,21664,21668
0.00,-0.00,21664,21669
0.07,-0.07,21664,21671
0.00,0.00,21664,21672
-0.00,0.00,21664,21699
0.03,-0.03,21664,21728
-0.01,0.01,21664,21754
0.01,-0.01,21673,21716
0.00,-0.00,21673,23318
-0.00,0.01,21675,21676
-0.02,0.01,21675,21694
-0.03,0.03,21675,21699
-0.10,0.10,21675,21716
0.02,-0.02,21675,21743
-0.01,0.01,21675,21760
0.05,-0.05,21675,23270
0.07,-0.07,21675,23390
-0.26,0.26,21676,21678
-0.00,0.00,21676,21716
0.09,-0.09,21676,23270
0.12,-0.12,21676,23390
-2.20,2.20,21678,21682
0.00,0.00,21679,21681
0.01,-0.01,21679,21682
-0.00,0.00,21679,21683
-0.01,0.01,21679,21699
-13.47,13.44,21684,21685
-0.00,0.00,21684,21689
-0.00,0.00,21684,21690
0.00,-0.00,21684,21691
-13.48,13.47,23374,21684
-0.32,0.31,21685,21720
-0.15,0.15,21685,21743
-0.19,0.19,21685,21751
0.03,-0.03,21694,21699
0.03,-0.03,21694,21716
0.00,-0.00,21694,21718
0.00,-0.00,21694,21719
-0.05,0.05,21694,21722
-0.02,0.02,21694,21754
0.00,-0.00,21694,21760
-0.12,0.12,21699,21698
1.08,-1.08,21722,21698
-0.00,0.00,21699,21709
-0.00,0.00,21699,21710
-0.00,0.00,21699,21716
-0.01,0.01,21699,21718
-0.01,0.01,21699,21719
-0.01,0.01,21699,21722
0.01,-0.01,21699,21728
0.04,-0.04,21699,21743
-0.03,0.03,21699,21754
0.00,-0.00,21700,21702
0.00,-0.00,21700,21703
-0.00,0.00,21700,21704
0.26,-0.25,21700,23348
0.54,-0.54,21700,23354
0.05,-0.05,21700,23421
0.01,-0.01,21709,21728
0.01,-0.01,21710,21728
0.02,-0.02,21716,21743
-0.01,0.01,21716,21760
-0.00,0.00,21718,21754
-0.00,0.00,21719,21754
-0.10,0.11,21720,21733
-0.04,0.05,21720,21743
-0.18,0.18,21720,21758
0.00,-0.00,21722,21726
-1.12,1.12,21722,21753
0.00,-0.00,21722,21754
-0.60,0.61,21728,21727
-0.60,0.61,21728,21727
-0.60,0.61,21728,21727
0.00,-0.00,21727,21730
0.00,-0.00,21727,21731
-0.00,0.00,21727,21732
0.10,-0.10,21728,21733
-0.01,0.01,21728,21754
0.00,-0.00,21733,21735
0.00,-0.00,21733,21737
0.00,-0.00,21733,21739
-0.07,0.07,21733,21741
-0.00,0.00,21733,21743
0.03,-0.03,21733,21758
-0.52,0.52,21743,21742
0.20,-0.20,21743,23309
0.04,-0.04,21743,23421
0.00,-0.00,21744,21748
0.00,-0.00,21744,21749
-0.35,0.35,21744,21751
-0.00,0.00,21744,21752
0.53,-0.53,23358,21751
-0.21,0.21,21754,21753
2.09,-2.10,23016,23375
-6.81,6.84,23159,23123
-0.02,0.02,23123,23347
-0.13,0.13,23123,23348
4.21,-4.20,23443,23123
0.19,-0.19,23123,23449
0.12,-0.12,23123,23495
-2.60,2.62,23123,23500
-0.15,0.15,23123,23501
-0.08,0.08,23157,23159
0.05,-0.05,23157,23184
0.14,-0.14,23157,23346
-0.09,0.09,23157,23495
6.73,-6.73,23159,23184
0.00,-0.00,23184,23188
-5.28,5.25,23291,23184
0.09,-0.09,23184,23306
0.06,-0.06,23184,23311
0.21,-0.21,23184,23346
0.05,-0.05,23184,23372
1.04,-1.04,23184,23408
0.10,-0.10,23184,23441
-0.74,0.74,23257,23233
0.91,-0.92,23233,23265
0.05,-0.05,23233,23282
-0.08,0.08,23233,23307
-2.49,2.50,23233,23345
0.14,-0.14,23233,23426
0.75,-0.74,23233,25943
-0.00,0.00,23257,23282
0.03,-0.03,23257,23426
0.08,-0.08,23257,25943
0.65,-0.65,23257,26205
0.00,0.00,23265,23267
0.00,0.00,23265,23268
-0.03,0.03,23265,23282
3.28,-3.27,23365,23265
-0.06,0.06,23265,23422
0.07,-0.07,23265,23426
-3.92,3.92,23429,23265
0.04,-0.04,23265,23438
0.25,-0.25,23265,26143
0.15,-0.15,23270,23348
-0.01,0.01,23270,23390
0.25,-0.25,23270,23421
0.19,-0.19,23270,23432
0.16,-0.17,23270,23473
-0.16,0.16,23272,23276
0.02,-0.02,23272,23281
0.04,-0.04,23272,23423
0.18,-0.17,23272,23441
-0.06,0.06,23272,23451
0.16,-0.16,23338,23276
0.38,-0.38,23278,23277
0.00,-0.00,23277,23279
0.38,-0.38,23277,23280
-0.07,0.07,23278,23390
-0.00,0.00,23278,23490
-0.00,0.00,23278,23491
0.05,-0.05,23281,23423
0.14,-0.14,23281,23441
-0.06,0.06,23281,23451
0.11,-0.11,23501,23281
-0.15,0.16,23282,23307
-0.01,0.01,23282,23313
-0.07,0.07,23282,23346
-0.00,0.00,23282,23360
-0.03,0.03,23282,23361
-0.18,0.18,23282,23366
-0.06,0.06,23282,23413
-0.11,0.12,23282,23422
0.15,-0.15,23282,23426
-0.12,0.12,23282,23436
0.10,-0.10,23282,23438
0.16,-0.15,23282,25943
0.38,-0.39,23282,26143
-8.20,8.21,23285,23284
-0.00,0.00,23284,23287
-0.00,-0.00,23284,23288
-0.00,-0.00,23284,23289
-0.00,0.00,23284,23290
20.19,-20.16,23374,23284
33.13,-33.09,23448,23284
45.03,-44.82,23284,26048
-5.79,5.80,23329,23285
2.94,-2.93,23285,23365
-0.02,0.02,23285,23441
-0.52,0.52,23285,23449
0.00,-0.00,23291,23293
0.00,-0.00,23291,23296
0.00,-0.00,23291,23297
0.01,-0.01,23291,23306
0.00,-0.00,23291,23311
0.02,-0.02,23291,23346
0.01,-0.01,23291,23353
0.03,-0.03,23291,23372
-1.43,1.43,23409,23291
3.81,-3.78,23291,23429
-0.03,0.03,23291,23441
-0.00,0.00,23295,23306
0.00,-0.00,23295,23372
-0.00,0.00,23298,23331
0.00,-0.00,23298,23385
0.00,-0.00,23300,23302
-0.00,0.00,23300,23303
8.09,-8.07,23429,23300
0.15,-0.15,23300,25890
0.09,-0.09,23300,26009
0.07,-0.07,23300,26054
7.63,-7.62,23300,26090
0.13,-0.13,23300,26091
-0.15,0.15,23311,23306
0.00,-0.00,23306,23311
0.00,-0.00,23306,23321
0.00,-0.00,23306,23322
0.02,-0.02,23306,23346
0.01,-0.01,23306,23353
0.02,-0.02,23306,23372
-0.09,0.08,23306,23406
-0.02,0.02,23306,23441
-0.15,0.15,23307,23319
-0.04,0.04,23307,23346
-0.01,0.01,23307,23363
-0.01,0.01,23307,23413
0.03,-0.03,23307,23426
0.03,-0.03,23307,23436
-0.07,0.07,23307,23482
-0.02,0.02,23307,23487
0.04,-0.04,23309,23348
-0.88,0.87,23309,23421
9.86,-9.86,23309,23443
8.80,-8.80,23473,23309
0.03,-0.03,23311,23319
0.06,-0.06,23311,23346
-0.29,0.28,23353,23311
-0.16,0.16,23311,23406
-0.01,0.01,23313,23422
